OrderID,CustomerID,SetMenuID,EventDate,NumberOfTables,TotalCost
1,K1234,PW001,31/03/2027,10,37500000
2,G0004,PW001,20/09/2026,5,18750000
3,C1001,PW002,15/01/2027,8,16680000
4,C1002,PW003,22/02/2027,5,9250000
5,C1003,PW004,10/03/2027,12,42600000
6,C1004,PW005,05/04/2027,3,6750000
7,C1005,PW006,18/05/2027,20,39000000
8,G1001,PW001,27/06/2027,15,56250000
9,G1002,PW002,09/07/2027,6,12510000
10,G1003,PW003,14/08/2027,10,18500000
11,K1001,PW004,30/09/2027,7,24850000
12,K1002,PW005,11/10/2027,4,9000000
